 ,Label,Area,Perim.,BX,BY,Width,Height
77,Nacl-sigma99-simon-x30-3.jpg:0077-0757,0.100,1.381,0.833,3.115,0.322,0.441
78,Nacl-sigma99-simon-x30-3.jpg:0078-0746,0.082,1.222,1.564,3.128,0.304,0.322
79,Nacl-sigma99-simon-x30-3.jpg:0079-0731,0.015,0.535,10.581,3.150,0.172,0.141
80,Nacl-sigma99-simon-x30-3.jpg:0080-0771,0.074,1.115,10.630,3.251,0.304,0.295
81,Nacl-sigma99-simon-x30-3.jpg:0081-0783,0.078,1.307,4.511,3.278,0.304,0.344
82,Nacl-sigma99-simon-x30-3.jpg:0082-0794,0.062,0.990,9.736,3.335,0.326,0.330
83,Nacl-sigma99-simon-x30-3.jpg:0083-0799,0.054,0.928,10.899,3.379,0.295,0.286
84,Nacl-sigma99-simon-x30-3.jpg:0084-0807,0.047,0.885,1.573,3.445,0.256,0.220
85,Nacl-sigma99-simon-x30-3.jpg:0085-0821,0.042,0.835,9.533,3.471,0.233,0.291
86,Nacl-sigma99-simon-x30-3.jpg:0086-0823,0.068,1.044,9.079,3.480,0.322,0.291
87,Nacl-sigma99-simon-x30-3.jpg:0087-0826,0.053,1.111,2.819,3.507,0.247,0.269
88,Nacl-sigma99-simon-x30-3.jpg:0088-0848,0.044,0.856,9.687,3.604,0.278,0.269
89,Nacl-sigma99-simon-x30-3.jpg:0089-0849,0.028,0.732,3.789,3.626,0.203,0.233
90,Nacl-sigma99-simon-x30-3.jpg:0090-0872,0.096,1.310,10.797,3.674,0.335,0.335
91,Nacl-sigma99-simon-x30-3.jpg:0091-0877,0.067,1.029,11.115,3.705,0.273,0.322
92,Nacl-sigma99-simon-x30-3.jpg:0092-0874,0.058,1.007,1.419,3.714,0.282,0.278
93,Nacl-sigma99-simon-x30-3.jpg:0093-0881,0.027,0.670,6.590,3.780,0.203,0.207
94,Nacl-sigma99-simon-x30-3.jpg:0094-0884,0.010,0.534,6.767,3.828,0.123,0.132
95,Nacl-sigma99-simon-x30-3.jpg:0095-0912,0.083,1.163,9.511,3.841,0.348,0.357
