//Exported ASCII-File
[Header]
FileName = D:\User\WITec\Measurements\Romane\APTMS_DROPLETS.wip_2.wip
GraphName = 3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: Amp(4))
SizeX = 1
SizeY = 1
SizeGraph = 720
PositionUnit = µm
PositionX = 1071.7
PositionY = -10932.9
PositionZ = 93.68775
XAxisUnit = P
DataUnit = CCD cts

[Data]
X-Axis,3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: Amp(4))
P,CCD cts
 0.00000E+00, 6.40723E+01
 1.00000E+00, 6.27983E+01
 2.00000E+00, 6.60337E+01
 3.00000E+00, 0.00000E+00
 4.00000E+00, 6.52384E+01
 5.00000E+00, 0.00000E+00
 6.00000E+00, 6.58783E+01
 7.00000E+00, 6.54325E+01
 8.00000E+00, 0.00000E+00
 9.00000E+00, 0.00000E+00
 1.00000E+01, 6.46971E+01
 1.10000E+01, 0.00000E+00
 1.20000E+01, 6.66824E+01
 1.30000E+01, 6.70934E+01
 1.40000E+01, 0.00000E+00
 1.50000E+01, 6.50310E+01
 1.60000E+01, 0.00000E+00
 1.70000E+01, 6.43552E+01
 1.80000E+01, 0.00000E+00
 1.90000E+01, 6.68618E+01
 2.00000E+01, 6.66352E+01
 2.10000E+01, 6.43107E+01
 2.20000E+01, 0.00000E+00
 2.30000E+01, 6.65628E+01
 2.40000E+01, 0.00000E+00
 2.50000E+01, 6.16509E+01
 2.60000E+01, 0.00000E+00
 2.70000E+01, 6.51699E+01
 2.80000E+01, 6.47916E+01
 2.90000E+01, 6.58051E+01
 3.00000E+01, 6.70233E+01
 3.10000E+01, 6.47426E+01
 3.20000E+01, 6.51092E+01
 3.30000E+01, 6.52990E+01
 3.40000E+01, 6.50674E+01
 3.50000E+01, 0.00000E+00
 3.60000E+01, 6.91438E+01
 3.70000E+01, 6.43169E+01
 3.80000E+01, 6.49566E+01
 3.90000E+01, 0.00000E+00
 4.00000E+01, 6.61739E+01
 4.10000E+01, 6.43472E+01
 4.20000E+01, 6.50124E+01
 4.30000E+01, 6.50812E+01
 4.40000E+01, 6.74383E+01
 4.50000E+01, 0.00000E+00
 4.60000E+01, 6.60826E+01
 4.70000E+01, 0.00000E+00
 4.80000E+01, 6.45585E+01
 4.90000E+01, 6.84998E+01
 5.00000E+01, 6.94958E+01
 5.10000E+01, 6.71309E+01
 5.20000E+01, 6.83941E+01
 5.30000E+01, 6.81406E+01
 5.40000E+01, 0.00000E+00
 5.50000E+01, 6.87269E+01
 5.60000E+01, 6.69259E+01
 5.70000E+01, 6.59794E+01
 5.80000E+01, 0.00000E+00
 5.90000E+01, 0.00000E+00
 6.00000E+01, 7.03519E+01
 6.10000E+01, 6.91430E+01
 6.20000E+01, 0.00000E+00
 6.30000E+01, 6.76084E+01
 6.40000E+01, 6.74978E+01
 6.50000E+01, 6.69253E+01
 6.60000E+01, 0.00000E+00
 6.70000E+01, 6.72310E+01
 6.80000E+01, 0.00000E+00
 6.90000E+01, 0.00000E+00
 7.00000E+01, 6.73576E+01
 7.10000E+01, 6.60443E+01
 7.20000E+01, 6.77240E+01
 7.30000E+01, 6.37881E+01
 7.40000E+01, 6.75127E+01
 7.50000E+01, 6.45232E+01
 7.60000E+01, 6.73740E+01
 7.70000E+01, 0.00000E+00
 7.80000E+01, 0.00000E+00
 7.90000E+01, 0.00000E+00
 8.00000E+01, 0.00000E+00
 8.10000E+01, 6.53249E+01
 8.20000E+01, 6.94321E+01
 8.30000E+01, 0.00000E+00
 8.40000E+01, 6.72674E+01
 8.50000E+01, 0.00000E+00
 8.60000E+01, 6.95170E+01
 8.70000E+01, 5.29298E+01
 8.80000E+01, 6.63967E+01
 8.90000E+01, 0.00000E+00
 9.00000E+01, 6.59108E+01
 9.10000E+01, 6.82667E+01
 9.20000E+01, 6.76146E+01
 9.30000E+01, 6.25116E+01
 9.40000E+01, 6.76747E+01
 9.50000E+01, 6.82125E+01
 9.60000E+01, 0.00000E+00
 9.70000E+01, 6.56504E+01
 9.80000E+01, 6.85586E+01
 9.90000E+01, 6.81924E+01
 1.00000E+02, 7.07119E+01
 1.01000E+02, 6.63814E+01
 1.02000E+02, 6.72150E+01
 1.03000E+02, 0.00000E+00
 1.04000E+02, 5.44619E+01
 1.05000E+02, 0.00000E+00
 1.06000E+02, 6.82407E+01
 1.07000E+02, 6.75269E+01
 1.08000E+02, 6.26581E+01
 1.09000E+02, 0.00000E+00
 1.10000E+02, 6.72984E+01
 1.11000E+02, 6.71176E+01
 1.12000E+02, 6.70753E+01
 1.13000E+02, 6.89562E+01
 1.14000E+02, 6.67003E+01
 1.15000E+02, 6.56714E+01
 1.16000E+02, 6.99692E+01
 1.17000E+02, 6.40605E+01
 1.18000E+02, 0.00000E+00
 1.19000E+02, 6.91294E+01
 1.20000E+02, 6.81218E+01
 1.21000E+02, 6.69653E+01
 1.22000E+02, 0.00000E+00
 1.23000E+02, 6.70228E+01
 1.24000E+02, 6.82953E+01
 1.25000E+02, 6.49638E+01
 1.26000E+02, 0.00000E+00
 1.27000E+02, 6.53005E+01
 1.28000E+02, 6.60347E+01
 1.29000E+02, 6.77016E+01
 1.30000E+02, 6.43489E+01
 1.31000E+02, 0.00000E+00
 1.32000E+02, 6.62516E+01
 1.33000E+02, 6.86574E+01
 1.34000E+02, 0.00000E+00
 1.35000E+02, 6.77905E+01
 1.36000E+02, 6.58698E+01
 1.37000E+02, 6.72930E+01
 1.38000E+02, 6.83887E+01
 1.39000E+02, 7.05599E+01
 1.40000E+02, 6.87642E+01
 1.41000E+02, 6.13970E+01
 1.42000E+02, 0.00000E+00
 1.43000E+02, 6.64475E+01
 1.44000E+02, 6.73782E+01
 1.45000E+02, 6.78365E+01
 1.46000E+02, 6.74311E+01
 1.47000E+02, 6.68209E+01
 1.48000E+02, 6.86772E+01
 1.49000E+02, 0.00000E+00
 1.50000E+02, 6.42969E+01
 1.51000E+02, 7.03423E+01
 1.52000E+02, 6.39873E+01
 1.53000E+02, 6.73052E+01
 1.54000E+02, 0.00000E+00
 1.55000E+02, 0.00000E+00
 1.56000E+02, 6.99157E+01
 1.57000E+02, 6.85458E+01
 1.58000E+02, 6.99753E+01
 1.59000E+02, 6.81251E+01
 1.60000E+02, 0.00000E+00
 1.61000E+02, 6.77533E+01
 1.62000E+02, 6.45027E+01
 1.63000E+02, 6.72550E+01
 1.64000E+02, 6.65640E+01
 1.65000E+02, 6.60616E+01
 1.66000E+02, 6.74903E+01
 1.67000E+02, 6.49643E+01
 1.68000E+02, 0.00000E+00
 1.69000E+02, 0.00000E+00
 1.70000E+02, 6.71251E+01
 1.71000E+02, 6.43437E+01
 1.72000E+02, 6.60087E+01
 1.73000E+02, 0.00000E+00
 1.74000E+02, 6.91497E+01
 1.75000E+02, 0.00000E+00
 1.76000E+02, 6.53975E+01
 1.77000E+02, 6.55669E+01
 1.78000E+02, 0.00000E+00
 1.79000E+02, 6.80328E+01
 1.80000E+02, 5.28795E+01
 1.81000E+02, 6.72852E+01
 1.82000E+02, 0.00000E+00
 1.83000E+02, 6.84127E+01
 1.84000E+02, 6.68186E+01
 1.85000E+02, 6.27198E+01
 1.86000E+02, 0.00000E+00
 1.87000E+02, 6.60633E+01
 1.88000E+02, 6.63868E+01
 1.89000E+02, 0.00000E+00
 1.90000E+02, 6.49099E+01
 1.91000E+02, 6.43860E+01
 1.92000E+02, 6.77501E+01
