//Exported ASCII-File
[Header]
FileName = D:\User\WITec\Measurements\Romane\APTMS_DROPLETS.wip_2.wip
GraphName = 3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: Amp(1))
SizeX = 1
SizeY = 1
SizeGraph = 720
PositionUnit = µm
PositionX = 1071.7
PositionY = -10932.9
PositionZ = 93.68775
XAxisUnit = P
DataUnit = CCD cts

[Data]
X-Axis,3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: Amp(1))
P,CCD cts
 0.00000E+00, 6.41574E+01
 1.00000E+00, 6.16842E+01
 2.00000E+00, 6.79516E+01
 3.00000E+00, 0.00000E+00
 4.00000E+00, 7.03210E+01
 5.00000E+00, 0.00000E+00
 6.00000E+00, 7.47769E+01
 7.00000E+00, 7.07325E+01
 8.00000E+00, 0.00000E+00
 9.00000E+00, 0.00000E+00
 1.00000E+01, 7.16759E+01
 1.10000E+01, 0.00000E+00
 1.20000E+01, 6.98663E+01
 1.30000E+01, 7.87213E+01
 1.40000E+01, 0.00000E+00
 1.50000E+01, 6.98677E+01
 1.60000E+01, 0.00000E+00
 1.70000E+01, 6.73172E+01
 1.80000E+01, 0.00000E+00
 1.90000E+01, 7.26437E+01
 2.00000E+01, 7.05568E+01
 2.10000E+01, 7.09270E+01
 2.20000E+01, 0.00000E+00
 2.30000E+01, 6.88594E+01
 2.40000E+01, 0.00000E+00
 2.50000E+01, 6.44211E+01
 2.60000E+01, 0.00000E+00
 2.70000E+01, 6.93716E+01
 2.80000E+01, 6.79536E+01
 2.90000E+01, 8.14626E+01
 3.00000E+01, 7.03133E+01
 3.10000E+01, 6.82823E+01
 3.20000E+01, 6.55960E+01
 3.30000E+01, 6.61781E+01
 3.40000E+01, 6.68396E+01
 3.50000E+01, 0.00000E+00
 3.60000E+01, 7.43603E+01
 3.70000E+01, 6.77659E+01
 3.80000E+01, 6.60816E+01
 3.90000E+01, 0.00000E+00
 4.00000E+01, 7.01774E+01
 4.10000E+01, 6.97211E+01
 4.20000E+01, 6.40601E+01
 4.30000E+01, 6.81231E+01
 4.40000E+01, 7.03627E+01
 4.50000E+01, 0.00000E+00
 4.60000E+01, 7.04858E+01
 4.70000E+01, 0.00000E+00
 4.80000E+01, 7.03866E+01
 4.90000E+01, 7.18495E+01
 5.00000E+01, 7.65058E+01
 5.10000E+01, 7.60884E+01
 5.20000E+01, 7.06066E+01
 5.30000E+01, 7.70154E+01
 5.40000E+01, 0.00000E+00
 5.50000E+01, 7.03733E+01
 5.60000E+01, 7.13191E+01
 5.70000E+01, 6.96760E+01
 5.80000E+01, 0.00000E+00
 5.90000E+01, 0.00000E+00
 6.00000E+01, 7.32373E+01
 6.10000E+01, 7.40134E+01
 6.20000E+01, 0.00000E+00
 6.30000E+01, 6.75435E+01
 6.40000E+01, 6.93071E+01
 6.50000E+01, 7.06479E+01
 6.60000E+01, 0.00000E+00
 6.70000E+01, 7.00155E+01
 6.80000E+01, 0.00000E+00
 6.90000E+01, 0.00000E+00
 7.00000E+01, 7.19232E+01
 7.10000E+01, 6.87833E+01
 7.20000E+01, 7.64004E+01
 7.30000E+01, 6.96548E+01
 7.40000E+01, 6.96930E+01
 7.50000E+01, 7.07234E+01
 7.60000E+01, 7.74575E+01
 7.70000E+01, 0.00000E+00
 7.80000E+01, 0.00000E+00
 7.90000E+01, 0.00000E+00
 8.00000E+01, 0.00000E+00
 8.10000E+01, 6.81753E+01
 8.20000E+01, 7.52692E+01
 8.30000E+01, 0.00000E+00
 8.40000E+01, 7.25410E+01
 8.50000E+01, 0.00000E+00
 8.60000E+01, 8.00489E+01
 8.70000E+01, 6.42494E+01
 8.80000E+01, 6.82092E+01
 8.90000E+01, 0.00000E+00
 9.00000E+01, 7.44512E+01
 9.10000E+01, 7.18420E+01
 9.20000E+01, 7.36813E+01
 9.30000E+01, 7.06230E+01
 9.40000E+01, 7.29893E+01
 9.50000E+01, 7.81990E+01
 9.60000E+01, 0.00000E+00
 9.70000E+01, 7.03076E+01
 9.80000E+01, 7.08432E+01
 9.90000E+01, 7.60969E+01
 1.00000E+02, 7.73890E+01
 1.01000E+02, 7.31969E+01
 1.02000E+02, 7.37255E+01
 1.03000E+02, 0.00000E+00
 1.04000E+02, 6.49898E+01
 1.05000E+02, 0.00000E+00
 1.06000E+02, 7.49724E+01
 1.07000E+02, 7.18795E+01
 1.08000E+02, 6.95587E+01
 1.09000E+02, 0.00000E+00
 1.10000E+02, 7.21417E+01
 1.11000E+02, 7.63136E+01
 1.12000E+02, 7.01954E+01
 1.13000E+02, 7.24927E+01
 1.14000E+02, 7.33610E+01
 1.15000E+02, 6.95086E+01
 1.16000E+02, 7.73997E+01
 1.17000E+02, 7.35697E+01
 1.18000E+02, 0.00000E+00
 1.19000E+02, 7.75265E+01
 1.20000E+02, 7.39199E+01
 1.21000E+02, 7.11723E+01
 1.22000E+02, 0.00000E+00
 1.23000E+02, 7.35065E+01
 1.24000E+02, 7.39793E+01
 1.25000E+02, 7.45722E+01
 1.26000E+02, 0.00000E+00
 1.27000E+02, 7.24353E+01
 1.28000E+02, 7.31880E+01
 1.29000E+02, 7.12552E+01
 1.30000E+02, 7.15470E+01
 1.31000E+02, 0.00000E+00
 1.32000E+02, 7.28517E+01
 1.33000E+02, 7.22054E+01
 1.34000E+02, 0.00000E+00
 1.35000E+02, 7.27291E+01
 1.36000E+02, 7.54182E+01
 1.37000E+02, 7.55431E+01
 1.38000E+02, 7.17337E+01
 1.39000E+02, 7.54977E+01
 1.40000E+02, 7.53655E+01
 1.41000E+02, 2.46611E+01
 1.42000E+02, 0.00000E+00
 1.43000E+02, 7.38941E+01
 1.44000E+02, 7.23682E+01
 1.45000E+02, 7.63606E+01
 1.46000E+02, 7.34539E+01
 1.47000E+02, 7.35700E+01
 1.48000E+02, 8.34711E+01
 1.49000E+02, 0.00000E+00
