//Exported ASCII-File
[Header]
FileName = D:\User\WITec\Measurements\Romane\APTMS_DROPLETS.wip_2.wip
GraphName = 3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: Amp(0))
SizeX = 1
SizeY = 1
SizeGraph = 720
PositionUnit = µm
PositionX = 1071.7
PositionY = -10932.9
PositionZ = 93.68775
XAxisUnit = P
DataUnit = CCD cts

[Data]
X-Axis,3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: Amp(0))
P,CCD cts
 1.61000E+02, 2.89169E+01
 1.62000E+02, 2.35371E+01
 1.63000E+02, 3.08879E+01
 1.64000E+02, 2.46881E+01
 1.65000E+02, 2.67678E+01
 1.66000E+02, 2.92757E+01
 1.67000E+02, 2.39628E+01
 1.68000E+02, 0.00000E+00
 1.69000E+02, 0.00000E+00
 1.70000E+02, 3.13564E+01
 1.71000E+02, 2.04398E+01
 1.72000E+02, 3.05228E+01
 1.73000E+02, 0.00000E+00
 1.74000E+02, 2.94701E+01
 1.75000E+02, 0.00000E+00
 1.76000E+02, 2.78260E+01
 1.77000E+02, 2.93465E+01
 1.78000E+02, 0.00000E+00
 1.79000E+02, 2.91769E+01
 1.80000E+02,-1.09950E+01
 1.81000E+02, 3.47954E+01
 1.82000E+02, 0.00000E+00
 1.83000E+02, 3.34374E+01
 1.84000E+02, 3.44541E+01
 1.85000E+02, 1.88814E+01
 1.86000E+02, 0.00000E+00
 1.87000E+02, 3.13301E+01
 1.88000E+02, 3.73131E+01
 1.89000E+02, 0.00000E+00
 1.90000E+02, 2.25788E+01
 1.91000E+02, 2.64380E+01
 1.92000E+02, 3.61213E+01
 1.93000E+02, 0.00000E+00
 1.94000E+02, 4.34630E+01
 1.95000E+02, 3.30263E+01
 1.96000E+02, 0.00000E+00
 1.97000E+02, 2.25199E+01
 1.98000E+02, 3.35794E+01
 1.99000E+02, 4.00743E+01
 2.00000E+02, 0.00000E+00
 2.01000E+02, 3.34036E+01
 2.02000E+02, 3.41913E+01
 2.03000E+02, 0.00000E+00
 2.04000E+02, 2.98018E+01
 2.05000E+02, 4.36531E+01
 2.06000E+02, 3.36470E+01
 2.07000E+02, 0.00000E+00
 2.08000E+02, 3.46471E+01
 2.09000E+02, 3.73651E+01
 2.10000E+02, 5.01130E+01
 2.11000E+02, 3.28130E+01
 2.12000E+02, 0.00000E+00
 2.13000E+02, 3.34845E+01
 2.14000E+02, 0.00000E+00
 2.15000E+02, 0.00000E+00
 2.16000E+02, 0.00000E+00
 2.17000E+02, 2.31167E+01
 2.18000E+02, 2.85751E+01
 2.19000E+02, 2.84289E+01
 2.20000E+02, 3.87351E+01
 2.21000E+02, 0.00000E+00
 2.22000E+02, 3.73823E+01
 2.23000E+02, 0.00000E+00
 2.24000E+02, 0.00000E+00
 2.25000E+02, 2.66766E+01
 2.26000E+02, 2.85085E+01
 2.27000E+02, 0.00000E+00
 2.28000E+02, 0.00000E+00
 2.29000E+02, 3.61040E+01
 2.30000E+02, 3.62848E+01
 2.31000E+02, 4.07213E+01
 2.32000E+02, 0.00000E+00
 2.33000E+02, 3.77928E+01
 2.34000E+02, 0.00000E+00
 2.35000E+02, 0.00000E+00
 2.36000E+02, 3.86690E+01
 2.37000E+02, 3.56111E+01
 2.38000E+02, 3.68550E+01
 2.39000E+02, 3.74969E+01
 2.40000E+02, 4.02434E+01
 2.41000E+02, 0.00000E+00
 2.42000E+02, 2.58738E+01
 2.43000E+02, 0.00000E+00
 2.44000E+02, 3.69316E+01
 2.45000E+02, 3.17248E+01
 2.46000E+02, 0.00000E+00
 2.47000E+02, 0.00000E+00
 2.48000E+02, 3.82791E+01
 2.49000E+02, 2.92363E+01
 2.50000E+02, 3.44693E+01
 2.51000E+02, 3.78354E+01
 2.52000E+02, 0.00000E+00
 2.53000E+02, 3.89616E+01
 2.54000E+02, 2.77465E+01
 2.55000E+02, 3.21589E+01
 2.56000E+02, 2.66119E+01
 2.57000E+02, 3.28004E+01
 2.58000E+02, 0.00000E+00
 2.59000E+02, 0.00000E+00
 2.60000E+02, 0.00000E+00
