//Exported ASCII-File
[Header]
FileName = D:\User\WITec\Measurements\Romane\APTMS_DROPLETS.wip_2.wip
GraphName = 3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: Amp(3))
SizeX = 1
SizeY = 1
SizeGraph = 720
PositionUnit = µm
PositionX = 1071.7
PositionY = -10932.9
PositionZ = 93.68775
XAxisUnit = P
DataUnit = CCD cts

[Data]
X-Axis,3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: Amp(3))
P,CCD cts
 0.00000E+00, 5.07324E+01
 1.00000E+00, 5.06246E+01
 2.00000E+00, 5.06844E+01
 3.00000E+00, 0.00000E+00
 4.00000E+00, 4.76892E+01
 5.00000E+00, 0.00000E+00
 6.00000E+00, 5.18156E+01
 7.00000E+00, 4.96746E+01
 8.00000E+00, 0.00000E+00
 9.00000E+00, 0.00000E+00
 1.00000E+01, 5.21749E+01
 1.10000E+01, 0.00000E+00
 1.20000E+01, 5.20977E+01
 1.30000E+01, 5.65113E+01
 1.40000E+01, 0.00000E+00
 1.50000E+01, 5.00815E+01
 1.60000E+01, 0.00000E+00
 1.70000E+01, 4.71031E+01
 1.80000E+01, 0.00000E+00
 1.90000E+01, 5.16657E+01
 2.00000E+01, 5.28084E+01
 2.10000E+01, 6.10205E+01
 2.20000E+01, 0.00000E+00
 2.30000E+01, 5.39733E+01
 2.40000E+01, 0.00000E+00
 2.50000E+01, 4.81727E+01
 2.60000E+01, 0.00000E+00
 2.70000E+01, 4.94504E+01
 2.80000E+01, 4.98699E+01
 2.90000E+01, 5.83836E+01
 3.00000E+01, 5.42671E+01
 3.10000E+01, 4.72785E+01
 3.20000E+01, 5.01844E+01
 3.30000E+01, 5.18556E+01
 3.40000E+01, 5.40991E+01
 3.50000E+01, 0.00000E+00
 3.60000E+01, 5.51319E+01
 3.70000E+01, 5.09176E+01
 3.80000E+01, 4.69131E+01
 3.90000E+01, 0.00000E+00
 4.00000E+01, 5.99231E+01
 4.10000E+01, 4.71977E+01
 4.20000E+01, 4.84941E+01
 4.30000E+01, 5.07788E+01
 4.40000E+01, 5.19903E+01
 4.50000E+01, 0.00000E+00
 4.60000E+01, 5.41536E+01
 4.70000E+01, 0.00000E+00
 4.80000E+01, 4.72611E+01
 4.90000E+01, 5.04622E+01
 5.00000E+01, 5.51758E+01
 5.10000E+01, 6.04425E+01
 5.20000E+01, 4.91650E+01
 5.30000E+01, 5.77908E+01
 5.40000E+01, 0.00000E+00
 5.50000E+01, 4.69652E+01
 5.60000E+01, 4.76991E+01
 5.70000E+01, 4.63045E+01
 5.80000E+01, 0.00000E+00
 5.90000E+01, 0.00000E+00
 6.00000E+01, 4.77859E+01
 6.10000E+01, 4.96610E+01
 6.20000E+01, 0.00000E+00
 6.30000E+01, 5.12877E+01
 6.40000E+01, 4.96075E+01
 6.50000E+01, 4.90220E+01
 6.60000E+01, 0.00000E+00
 6.70000E+01, 5.05457E+01
 6.80000E+01, 0.00000E+00
 6.90000E+01, 0.00000E+00
 7.00000E+01, 5.01567E+01
 7.10000E+01, 5.06458E+01
 7.20000E+01, 4.91526E+01
 7.30000E+01, 4.93294E+01
 7.40000E+01, 5.25109E+01
 7.50000E+01, 4.93348E+01
 7.60000E+01, 5.93173E+01
 7.70000E+01, 0.00000E+00
 7.80000E+01, 0.00000E+00
 7.90000E+01, 0.00000E+00
 8.00000E+01, 0.00000E+00
 8.10000E+01, 4.97621E+01
 8.20000E+01, 5.14197E+01
 8.30000E+01, 0.00000E+00
 8.40000E+01, 5.17333E+01
 8.50000E+01, 0.00000E+00
 8.60000E+01, 5.48044E+01
 8.70000E+01, 4.55690E+01
 8.80000E+01, 5.64227E+01
 8.90000E+01, 0.00000E+00
 9.00000E+01, 4.97360E+01
 9.10000E+01, 5.51607E+01
 9.20000E+01, 5.84247E+01
 9.30000E+01, 4.73675E+01
 9.40000E+01, 4.87325E+01
 9.50000E+01, 5.51115E+01
 9.60000E+01, 0.00000E+00
 9.70000E+01, 5.31528E+01
 9.80000E+01, 5.17233E+01
 9.90000E+01, 5.41579E+01
 1.00000E+02, 5.11018E+01
 1.01000E+02, 6.27778E+01
 1.02000E+02, 5.11031E+01
 1.03000E+02, 0.00000E+00
 1.04000E+02, 4.80456E+01
 1.05000E+02, 0.00000E+00
 1.06000E+02, 5.50775E+01
 1.07000E+02, 5.10044E+01
 1.08000E+02, 5.02819E+01
 1.09000E+02, 0.00000E+00
 1.10000E+02, 5.35506E+01
 1.11000E+02, 6.35529E+01
 1.12000E+02, 5.25079E+01
 1.13000E+02, 4.90945E+01
 1.14000E+02, 5.58238E+01
 1.15000E+02, 5.53426E+01
 1.16000E+02, 5.49406E+01
 1.17000E+02, 4.60146E+01
 1.18000E+02, 0.00000E+00
 1.19000E+02, 5.30540E+01
 1.20000E+02, 5.48940E+01
 1.21000E+02, 5.13099E+01
 1.22000E+02, 0.00000E+00
 1.23000E+02, 5.57977E+01
 1.24000E+02, 5.45434E+01
 1.25000E+02, 5.27807E+01
 1.26000E+02, 0.00000E+00
 1.27000E+02, 5.17402E+01
 1.28000E+02, 5.27212E+01
 1.29000E+02, 5.23056E+01
 1.30000E+02, 4.97176E+01
 1.31000E+02, 0.00000E+00
 1.32000E+02, 4.81476E+01
 1.33000E+02, 5.40627E+01
 1.34000E+02, 0.00000E+00
 1.35000E+02, 4.96232E+01
 1.36000E+02, 5.50205E+01
 1.37000E+02, 5.21170E+01
 1.38000E+02, 5.92381E+01
 1.39000E+02, 5.40377E+01
 1.40000E+02, 5.29223E+01
 1.41000E+02, 4.75307E+01
 1.42000E+02, 0.00000E+00
 1.43000E+02, 5.47619E+01
 1.44000E+02, 5.40425E+01
 1.45000E+02, 5.09237E+01
 1.46000E+02, 5.47686E+01
 1.47000E+02, 5.04775E+01
 1.48000E+02, 6.10587E+01
 1.49000E+02, 0.00000E+00
 1.50000E+02, 4.93293E+01
 1.51000E+02, 5.43754E+01
 1.52000E+02, 5.00945E+01
 1.53000E+02, 5.50436E+01
 1.54000E+02, 0.00000E+00
 1.55000E+02, 0.00000E+00
 1.56000E+02, 5.66603E+01
 1.57000E+02, 5.10115E+01
 1.58000E+02, 6.08416E+01
 1.59000E+02, 5.24169E+01
 1.60000E+02, 0.00000E+00
 1.61000E+02, 5.36720E+01
 1.62000E+02, 5.41846E+01
 1.63000E+02, 5.99414E+01
 1.64000E+02, 5.97154E+01
 1.65000E+02, 5.47456E+01
 1.66000E+02, 5.51820E+01
 1.67000E+02, 5.56729E+01
 1.68000E+02, 0.00000E+00
 1.69000E+02, 0.00000E+00
 1.70000E+02, 5.67138E+01
 1.71000E+02, 5.22013E+01
 1.72000E+02, 5.58055E+01
 1.73000E+02, 0.00000E+00
 1.74000E+02, 5.17555E+01
 1.75000E+02, 0.00000E+00
 1.76000E+02, 5.96133E+01
 1.77000E+02, 5.23845E+01
 1.78000E+02, 0.00000E+00
 1.79000E+02, 5.59493E+01
 1.80000E+02, 4.87049E+01
 1.81000E+02, 5.52707E+01
 1.82000E+02, 0.00000E+00
 1.83000E+02, 6.04355E+01
 1.84000E+02, 6.05298E+01
 1.85000E+02, 5.14653E+01
 1.86000E+02, 0.00000E+00
 1.87000E+02, 5.46103E+01
 1.88000E+02, 6.05903E+01
 1.89000E+02, 0.00000E+00
 1.90000E+02, 5.29141E+01
 1.91000E+02, 5.01525E+01
 1.92000E+02, 5.54258E+01
 1.93000E+02, 0.00000E+00
 1.94000E+02, 5.88101E+01
 1.95000E+02, 5.78050E+01
 1.96000E+02, 0.00000E+00
 1.97000E+02, 5.61382E+01
 1.98000E+02, 5.89384E+01
