//Exported ASCII-File
[Header]
FileName = D:\User\WITec\Measurements\Romane\APTMS_DROPLETS.wip_2.wip
GraphName = 3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: Amp(2))
SizeX = 1
SizeY = 1
SizeGraph = 720
PositionUnit = µm
PositionX = 1071.7
PositionY = -10932.9
PositionZ = 93.68775
XAxisUnit = P
DataUnit = CCD cts

[Data]
X-Axis,3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: Amp(2))
P,CCD cts
 0.00000E+00, 1.14857E+02
 1.00000E+00, 1.20288E+02
 2.00000E+00, 1.13856E+02
 3.00000E+00, 0.00000E+00
 4.00000E+00, 1.14389E+02
 5.00000E+00, 0.00000E+00
 6.00000E+00, 1.07510E+02
 7.00000E+00, 1.15582E+02
 8.00000E+00, 0.00000E+00
 9.00000E+00, 0.00000E+00
 1.00000E+01, 1.13715E+02
 1.10000E+01, 0.00000E+00
 1.20000E+01, 1.15187E+02
 1.30000E+01, 1.05971E+02
 1.40000E+01, 0.00000E+00
 1.50000E+01, 1.16590E+02
 1.60000E+01, 0.00000E+00
 1.70000E+01, 1.21052E+02
 1.80000E+01, 0.00000E+00
 1.90000E+01, 1.14175E+02
 2.00000E+01, 1.18878E+02
 2.10000E+01, 1.15307E+02
 2.20000E+01, 0.00000E+00
 2.30000E+01, 1.17652E+02
 2.40000E+01, 0.00000E+00
 2.50000E+01, 1.22000E+02
 2.60000E+01, 0.00000E+00
 2.70000E+01, 1.22380E+02
 2.80000E+01, 1.21433E+02
 2.90000E+01, 1.10593E+02
 3.00000E+01, 1.23667E+02
 3.10000E+01, 1.23799E+02
 3.20000E+01, 1.23783E+02
 3.30000E+01, 1.24836E+02
 3.40000E+01, 1.21733E+02
 3.50000E+01, 0.00000E+00
 3.60000E+01, 1.12417E+02
 3.70000E+01, 1.21357E+02
 3.80000E+01, 1.22214E+02
 3.90000E+01, 0.00000E+00
