//Exported ASCII-File
[Header]
FileName = D:\User\WITec\Measurements\Romane\APTMS_DROPLETS.wip_2.wip
GraphName = 3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: x0(0))
SizeX = 1
SizeY = 1
SizeGraph = 720
PositionUnit = µm
PositionX = 1071.7
PositionY = -10932.9
PositionZ = 93.68775
XAxisUnit = P
DataUnit = rel. 1/cm

[Data]
X-Axis,3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: x0(0))
P,rel. 1/cm
 0.00000E+00, 3.20294E+03
 1.00000E+00, 3.19698E+03
 2.00000E+00, 3.20115E+03
 3.00000E+00, 0.00000E+00
 4.00000E+00, 3.20033E+03
 5.00000E+00, 0.00000E+00
 6.00000E+00, 3.20647E+03
 7.00000E+00, 3.19866E+03
 8.00000E+00, 0.00000E+00
 9.00000E+00, 0.00000E+00
 1.00000E+01, 3.20407E+03
 1.10000E+01, 0.00000E+00
 1.20000E+01, 3.20302E+03
 1.30000E+01, 3.21357E+03
 1.40000E+01, 0.00000E+00
 1.50000E+01, 3.19812E+03
 1.60000E+01, 0.00000E+00
 1.70000E+01, 3.19474E+03
 1.80000E+01, 0.00000E+00
 1.90000E+01, 3.20786E+03
 2.00000E+01, 3.20249E+03
 2.10000E+01, 3.21752E+03
 2.20000E+01, 0.00000E+00
 2.30000E+01, 3.19740E+03
 2.40000E+01, 0.00000E+00
 2.50000E+01, 3.19632E+03
 2.60000E+01, 0.00000E+00
 2.70000E+01, 3.19612E+03
 2.80000E+01, 3.19478E+03
 2.90000E+01, 3.21404E+03
 3.00000E+01, 3.20258E+03
 3.10000E+01, 3.19527E+03
 3.20000E+01, 3.19562E+03
 3.30000E+01, 3.19600E+03
 3.40000E+01, 3.19774E+03
 3.50000E+01, 0.00000E+00
 3.60000E+01, 3.21851E+03
 3.70000E+01, 3.19981E+03
 3.80000E+01, 3.19432E+03
 3.90000E+01, 0.00000E+00
 4.00000E+01, 3.20560E+03
 4.10000E+01, 3.19601E+03
 4.20000E+01, 3.19267E+03
 4.30000E+01, 3.19629E+03
 4.40000E+01, 3.19940E+03
 4.50000E+01, 0.00000E+00
 4.60000E+01, 3.19859E+03
 4.70000E+01, 0.00000E+00
 4.80000E+01, 3.19671E+03
 4.90000E+01, 3.19983E+03
 5.00000E+01, 3.20452E+03
 5.10000E+01, 3.20398E+03
 5.20000E+01, 3.20407E+03
 5.30000E+01, 3.21047E+03
 5.40000E+01, 0.00000E+00
 5.50000E+01, 3.19913E+03
 5.60000E+01, 3.19635E+03
 5.70000E+01, 3.19549E+03
 5.80000E+01, 0.00000E+00
 5.90000E+01, 0.00000E+00
 6.00000E+01, 3.20208E+03
 6.10000E+01, 3.20071E+03
 6.20000E+01, 0.00000E+00
 6.30000E+01, 3.19792E+03
 6.40000E+01, 3.19471E+03
 6.50000E+01, 3.19972E+03
 6.60000E+01, 0.00000E+00
 6.70000E+01, 3.19606E+03
 6.80000E+01, 0.00000E+00
 6.90000E+01, 0.00000E+00
 7.00000E+01, 3.19907E+03
 7.10000E+01, 3.19297E+03
 7.20000E+01, 3.20583E+03
 7.30000E+01, 3.19538E+03
 7.40000E+01, 3.19409E+03
 7.50000E+01, 3.19473E+03
 7.60000E+01, 3.20766E+03
 7.70000E+01, 0.00000E+00
 7.80000E+01, 0.00000E+00
 7.90000E+01, 0.00000E+00
 8.00000E+01, 0.00000E+00
 8.10000E+01, 3.19484E+03
 8.20000E+01, 3.20350E+03
 8.30000E+01, 0.00000E+00
 8.40000E+01, 3.19880E+03
 8.50000E+01, 0.00000E+00
 8.60000E+01, 3.20903E+03
 8.70000E+01, 3.13549E+03
 8.80000E+01, 3.19706E+03
 8.90000E+01, 0.00000E+00
 9.00000E+01, 3.19566E+03
 9.10000E+01, 3.19921E+03
 9.20000E+01, 3.21017E+03
 9.30000E+01, 3.19086E+03
 9.40000E+01, 3.20221E+03
 9.50000E+01, 3.21302E+03
