//Exported ASCII-File
[Header]
FileName = D:\User\WITec\Measurements\Romane\APTMS_DROPLETS.wip_2.wip
GraphName = 3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: x0(4))
SizeX = 1
SizeY = 1
SizeGraph = 720
PositionUnit = µm
PositionX = 1071.7
PositionY = -10932.9
PositionZ = 93.68775
XAxisUnit = P
DataUnit = rel. 1/cm

[Data]
X-Axis,3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: x0(4))
P,rel. 1/cm
 1.61000E+02, 3.42535E+03
 1.62000E+02, 3.42824E+03
 1.63000E+02, 3.42806E+03
 1.64000E+02, 3.42764E+03
 1.65000E+02, 3.42691E+03
 1.66000E+02, 3.42682E+03
 1.67000E+02, 3.42999E+03
 1.68000E+02, 0.00000E+00
 1.69000E+02, 0.00000E+00
 1.70000E+02, 3.42326E+03
 1.71000E+02, 3.42823E+03
 1.72000E+02, 3.42580E+03
 1.73000E+02, 0.00000E+00
 1.74000E+02, 3.42415E+03
 1.75000E+02, 0.00000E+00
 1.76000E+02, 3.42915E+03
 1.77000E+02, 3.42432E+03
 1.78000E+02, 0.00000E+00
 1.79000E+02, 3.42594E+03
 1.80000E+02, 3.43225E+03
 1.81000E+02, 3.42314E+03
 1.82000E+02, 0.00000E+00
 1.83000E+02, 3.42503E+03
 1.84000E+02, 3.42543E+03
 1.85000E+02, 3.42853E+03
 1.86000E+02, 0.00000E+00
 1.87000E+02, 3.42331E+03
 1.88000E+02, 3.42330E+03
 1.89000E+02, 0.00000E+00
 1.90000E+02, 3.42759E+03
 1.91000E+02, 3.42518E+03
 1.92000E+02, 3.42165E+03
 1.93000E+02, 0.00000E+00
 1.94000E+02, 3.42244E+03
 1.95000E+02, 3.42626E+03
 1.96000E+02, 0.00000E+00
 1.97000E+02, 3.42628E+03
 1.98000E+02, 3.42262E+03
 1.99000E+02, 3.42161E+03
 2.00000E+02, 0.00000E+00
 2.01000E+02, 3.42436E+03
 2.02000E+02, 3.42266E+03
 2.03000E+02, 0.00000E+00
 2.04000E+02, 3.42398E+03
 2.05000E+02, 3.42039E+03
 2.06000E+02, 3.42136E+03
 2.07000E+02, 0.00000E+00
 2.08000E+02, 3.42458E+03
 2.09000E+02, 3.42205E+03
 2.10000E+02, 3.42862E+03
 2.11000E+02, 3.42467E+03
 2.12000E+02, 0.00000E+00
 2.13000E+02, 3.42078E+03
 2.14000E+02, 0.00000E+00
 2.15000E+02, 0.00000E+00
 2.16000E+02, 0.00000E+00
 2.17000E+02, 3.42711E+03
 2.18000E+02, 3.42262E+03
 2.19000E+02, 3.42795E+03
 2.20000E+02, 3.42038E+03
 2.21000E+02, 0.00000E+00
 2.22000E+02, 3.42298E+03
 2.23000E+02, 0.00000E+00
 2.24000E+02, 0.00000E+00
 2.25000E+02, 3.42847E+03
 2.26000E+02, 3.42539E+03
 2.27000E+02, 0.00000E+00
 2.28000E+02, 0.00000E+00
 2.29000E+02, 3.42098E+03
 2.30000E+02, 3.42185E+03
 2.31000E+02, 3.42447E+03
 2.32000E+02, 0.00000E+00
 2.33000E+02, 3.42674E+03
 2.34000E+02, 0.00000E+00
 2.35000E+02, 0.00000E+00
 2.36000E+02, 3.42117E+03
 2.37000E+02, 3.42380E+03
 2.38000E+02, 3.42429E+03
 2.39000E+02, 3.42440E+03
 2.40000E+02, 3.42120E+03
 2.41000E+02, 0.00000E+00
 2.42000E+02, 3.42191E+03
 2.43000E+02, 0.00000E+00
 2.44000E+02, 3.42285E+03
 2.45000E+02, 3.42466E+03
 2.46000E+02, 0.00000E+00
 2.47000E+02, 0.00000E+00
 2.48000E+02, 3.42284E+03
 2.49000E+02, 3.42358E+03
 2.50000E+02, 3.42069E+03
 2.51000E+02, 3.42287E+03
 2.52000E+02, 0.00000E+00
 2.53000E+02, 3.42348E+03
 2.54000E+02, 3.42360E+03
 2.55000E+02, 3.42408E+03
 2.56000E+02, 3.42564E+03
 2.57000E+02, 3.42494E+03
 2.58000E+02, 0.00000E+00
 2.59000E+02, 0.00000E+00
 2.60000E+02, 0.00000E+00
 2.61000E+02, 0.00000E+00
 2.62000E+02, 0.00000E+00
 2.63000E+02, 3.41705E+03
 2.64000E+02, 3.42460E+03
 2.65000E+02, 3.42312E+03
 2.66000E+02, 0.00000E+00
 2.67000E+02, 0.00000E+00
 2.68000E+02, 3.42132E+03
 2.69000E+02, 3.42313E+03
 2.70000E+02, 3.42129E+03
 2.71000E+02, 3.42085E+03
 2.72000E+02, 3.42333E+03
 2.73000E+02, 0.00000E+00
 2.74000E+02, 3.42165E+03
 2.75000E+02, 3.42771E+03
 2.76000E+02, 3.42441E+03
 2.77000E+02, 3.42454E+03
 2.78000E+02, 3.42355E+03
 2.79000E+02, 3.42507E+03
 2.80000E+02, 3.42445E+03
 2.81000E+02, 3.42499E+03
 2.82000E+02, 3.42499E+03
 2.83000E+02, 3.41797E+03
 2.84000E+02, 0.00000E+00
 2.85000E+02, 3.42294E+03
 2.86000E+02, 3.42313E+03
 2.87000E+02, 3.42414E+03
 2.88000E+02, 3.42166E+03
 2.89000E+02, 0.00000E+00
 2.90000E+02, 3.42329E+03
 2.91000E+02, 0.00000E+00
 2.92000E+02, 3.42221E+03
 2.93000E+02, 3.42176E+03
 2.94000E+02, 3.42170E+03
 2.95000E+02, 0.00000E+00
 2.96000E+02, 3.41990E+03
 2.97000E+02, 3.42422E+03
 2.98000E+02, 3.42014E+03
 2.99000E+02, 3.41878E+03
 3.00000E+02, 0.00000E+00
 3.01000E+02, 3.41924E+03
 3.02000E+02, 3.41863E+03
 3.03000E+02, 3.41763E+03
 3.04000E+02, 3.42202E+03
 3.05000E+02, 3.42598E+03
 3.06000E+02, 3.41884E+03
 3.07000E+02, 3.41808E+03
 3.08000E+02, 3.42142E+03
 3.09000E+02, 3.42302E+03
 3.10000E+02, 3.41923E+03
 3.11000E+02, 3.42013E+03
