//Exported ASCII-File
[Header]
FileName = D:\User\WITec\Measurements\Romane\APTMS_DROPLETS.wip_2.wip
GraphName = 3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: x0(1))
SizeX = 1
SizeY = 1
SizeGraph = 720
PositionUnit = µm
PositionX = 1071.7
PositionY = -10932.9
PositionZ = 93.68775
XAxisUnit = P
DataUnit = rel. 1/cm

[Data]
X-Axis,3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: x0(1))
P,rel. 1/cm
 0.00000E+00, 3.29186E+03
 1.00000E+00, 3.28682E+03
 2.00000E+00, 3.29301E+03
 3.00000E+00, 0.00000E+00
 4.00000E+00, 3.29433E+03
 5.00000E+00, 0.00000E+00
 6.00000E+00, 3.29681E+03
 7.00000E+00, 3.29316E+03
 8.00000E+00, 0.00000E+00
 9.00000E+00, 0.00000E+00
 1.00000E+01, 3.29410E+03
 1.10000E+01, 0.00000E+00
 1.20000E+01, 3.29507E+03
 1.30000E+01, 3.29980E+03
 1.40000E+01, 0.00000E+00
 1.50000E+01, 3.28988E+03
 1.60000E+01, 0.00000E+00
 1.70000E+01, 3.29129E+03
 1.80000E+01, 0.00000E+00
 1.90000E+01, 3.29578E+03
 2.00000E+01, 3.29322E+03
 2.10000E+01, 3.30000E+03
 2.20000E+01, 0.00000E+00
 2.30000E+01, 3.29085E+03
 2.40000E+01, 0.00000E+00
 2.50000E+01, 3.29006E+03
 2.60000E+01, 0.00000E+00
 2.70000E+01, 3.29080E+03
 2.80000E+01, 3.29029E+03
 2.90000E+01, 3.30000E+03
 3.00000E+01, 3.29144E+03
 3.10000E+01, 3.29139E+03
 3.20000E+01, 3.29042E+03
 3.30000E+01, 3.28823E+03
 3.40000E+01, 3.28970E+03
 3.50000E+01, 0.00000E+00
 3.60000E+01, 3.30000E+03
 3.70000E+01, 3.29203E+03
 3.80000E+01, 3.28850E+03
 3.90000E+01, 0.00000E+00
 4.00000E+01, 3.29001E+03
 4.10000E+01, 3.29520E+03
 4.20000E+01, 3.28677E+03
 4.30000E+01, 3.29063E+03
 4.40000E+01, 3.29101E+03
 4.50000E+01, 0.00000E+00
 4.60000E+01, 3.29039E+03
 4.70000E+01, 0.00000E+00
 4.80000E+01, 3.29226E+03
 4.90000E+01, 3.29193E+03
 5.00000E+01, 3.29518E+03
 5.10000E+01, 3.29374E+03
 5.20000E+01, 3.29350E+03
 5.30000E+01, 3.29840E+03
 5.40000E+01, 0.00000E+00
 5.50000E+01, 3.29185E+03
 5.60000E+01, 3.29181E+03
 5.70000E+01, 3.29203E+03
 5.80000E+01, 0.00000E+00
 5.90000E+01, 0.00000E+00
