//Exported ASCII-File
[Header]
FileName = D:\User\WITec\Measurements\Romane\APTMS_DROPLETS.wip_2.wip
GraphName = 3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: x0(3))
SizeX = 1
SizeY = 1
SizeGraph = 720
PositionUnit = µm
PositionX = 1071.7
PositionY = -10932.9
PositionZ = 93.68775
XAxisUnit = P
DataUnit = rel. 1/cm

[Data]
X-Axis,3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: x0(3))
P,rel. 1/cm
 0.00000E+00, 3.36648E+03
 1.00000E+00, 3.36663E+03
 2.00000E+00, 3.36645E+03
 3.00000E+00, 0.00000E+00
 4.00000E+00, 3.36712E+03
 5.00000E+00, 0.00000E+00
 6.00000E+00, 3.36648E+03
 7.00000E+00, 3.36674E+03
 8.00000E+00, 0.00000E+00
 9.00000E+00, 0.00000E+00
 1.00000E+01, 3.36773E+03
 1.10000E+01, 0.00000E+00
 1.20000E+01, 3.36669E+03
 1.30000E+01, 3.36633E+03
 1.40000E+01, 0.00000E+00
 1.50000E+01, 3.36655E+03
 1.60000E+01, 0.00000E+00
 1.70000E+01, 3.36666E+03
 1.80000E+01, 0.00000E+00
 1.90000E+01, 3.36675E+03
 2.00000E+01, 3.36642E+03
 2.10000E+01, 3.36710E+03
 2.20000E+01, 0.00000E+00
 2.30000E+01, 3.36696E+03
 2.40000E+01, 0.00000E+00
 2.50000E+01, 3.36725E+03
 2.60000E+01, 0.00000E+00
 2.70000E+01, 3.36698E+03
 2.80000E+01, 3.36696E+03
 2.90000E+01, 3.36691E+03
 3.00000E+01, 3.36654E+03
 3.10000E+01, 3.36748E+03
 3.20000E+01, 3.36702E+03
 3.30000E+01, 3.36696E+03
 3.40000E+01, 3.36656E+03
 3.50000E+01, 0.00000E+00
 3.60000E+01, 3.36584E+03
 3.70000E+01, 3.36763E+03
 3.80000E+01, 3.36687E+03
 3.90000E+01, 0.00000E+00
 4.00000E+01, 3.36594E+03
 4.10000E+01, 3.36885E+03
 4.20000E+01, 3.36693E+03
 4.30000E+01, 3.36616E+03
 4.40000E+01, 3.36715E+03
 4.50000E+01, 0.00000E+00
 4.60000E+01, 3.36752E+03
 4.70000E+01, 0.00000E+00
 4.80000E+01, 3.36748E+03
 4.90000E+01, 3.36680E+03
 5.00000E+01, 3.36800E+03
 5.10000E+01, 3.36664E+03
 5.20000E+01, 3.36649E+03
 5.30000E+01, 3.36780E+03
 5.40000E+01, 0.00000E+00
 5.50000E+01, 3.36611E+03
 5.60000E+01, 3.36732E+03
 5.70000E+01, 3.36668E+03
 5.80000E+01, 0.00000E+00
 5.90000E+01, 0.00000E+00
 6.00000E+01, 3.36685E+03
 6.10000E+01, 3.36716E+03
 6.20000E+01, 0.00000E+00
 6.30000E+01, 3.36688E+03
 6.40000E+01, 3.36686E+03
 6.50000E+01, 3.36763E+03
 6.60000E+01, 0.00000E+00
 6.70000E+01, 3.36706E+03
 6.80000E+01, 0.00000E+00
 6.90000E+01, 0.00000E+00
 7.00000E+01, 3.36740E+03
 7.10000E+01, 3.36753E+03
 7.20000E+01, 3.36821E+03
 7.30000E+01, 3.36727E+03
 7.40000E+01, 3.36649E+03
 7.50000E+01, 3.36751E+03
 7.60000E+01, 3.36770E+03
 7.70000E+01, 0.00000E+00
 7.80000E+01, 0.00000E+00
 7.90000E+01, 0.00000E+00
 8.00000E+01, 0.00000E+00
 8.10000E+01, 3.36726E+03
 8.20000E+01, 3.36653E+03
 8.30000E+01, 0.00000E+00
 8.40000E+01, 3.36719E+03
 8.50000E+01, 0.00000E+00
 8.60000E+01, 3.36766E+03
 8.70000E+01, 3.36697E+03
 8.80000E+01, 3.36733E+03
 8.90000E+01, 0.00000E+00
 9.00000E+01, 3.36816E+03
 9.10000E+01, 3.36645E+03
 9.20000E+01, 3.36648E+03
 9.30000E+01, 3.36777E+03
 9.40000E+01, 3.36741E+03
 9.50000E+01, 3.36780E+03
 9.60000E+01, 0.00000E+00
 9.70000E+01, 3.36700E+03
 9.80000E+01, 3.36617E+03
 9.90000E+01, 3.36778E+03
 1.00000E+02, 3.36705E+03
 1.01000E+02, 3.36677E+03
 1.02000E+02, 3.36774E+03
 1.03000E+02, 0.00000E+00
 1.04000E+02, 3.36843E+03
 1.05000E+02, 0.00000E+00
 1.06000E+02, 3.36741E+03
 1.07000E+02, 3.36665E+03
 1.08000E+02, 3.36809E+03
 1.09000E+02, 0.00000E+00
 1.10000E+02, 3.36685E+03
 1.11000E+02, 3.36701E+03
 1.12000E+02, 3.36683E+03
 1.13000E+02, 3.36790E+03
 1.14000E+02, 3.36767E+03
 1.15000E+02, 3.36711E+03
 1.16000E+02, 3.36723E+03
 1.17000E+02, 3.36880E+03
 1.18000E+02, 0.00000E+00
 1.19000E+02, 3.36702E+03
 1.20000E+02, 3.36836E+03
 1.21000E+02, 3.36688E+03
 1.22000E+02, 0.00000E+00
 1.23000E+02, 3.36751E+03
 1.24000E+02, 3.36785E+03
 1.25000E+02, 3.36837E+03
 1.26000E+02, 0.00000E+00
 1.27000E+02, 3.36818E+03
 1.28000E+02, 3.36790E+03
 1.29000E+02, 3.36689E+03
 1.30000E+02, 3.36781E+03
 1.31000E+02, 0.00000E+00
 1.32000E+02, 3.36783E+03
 1.33000E+02, 3.36613E+03
 1.34000E+02, 0.00000E+00
 1.35000E+02, 3.36678E+03
 1.36000E+02, 3.36893E+03
 1.37000E+02, 3.36790E+03
 1.38000E+02, 3.36735E+03
 1.39000E+02, 3.36769E+03
 1.40000E+02, 3.36703E+03
 1.41000E+02, 3.36676E+03
 1.42000E+02, 0.00000E+00
 1.43000E+02, 3.36720E+03
 1.44000E+02, 3.36750E+03
 1.45000E+02, 3.36785E+03
 1.46000E+02, 3.36754E+03
 1.47000E+02, 3.36739E+03
 1.48000E+02, 3.36739E+03
 1.49000E+02, 0.00000E+00
 1.50000E+02, 3.36862E+03
 1.51000E+02, 3.36738E+03
 1.52000E+02, 3.36731E+03
 1.53000E+02, 3.36710E+03
 1.54000E+02, 0.00000E+00
 1.55000E+02, 0.00000E+00
 1.56000E+02, 3.36589E+03
 1.57000E+02, 3.36721E+03
 1.58000E+02, 3.36683E+03
 1.59000E+02, 3.36701E+03
 1.60000E+02, 0.00000E+00
 1.61000E+02, 3.36675E+03
 1.62000E+02, 3.36792E+03
 1.63000E+02, 3.36663E+03
 1.64000E+02, 3.36701E+03
 1.65000E+02, 3.36747E+03
 1.66000E+02, 3.36726E+03
 1.67000E+02, 3.36821E+03
 1.68000E+02, 0.00000E+00
 1.69000E+02, 0.00000E+00
 1.70000E+02, 3.36671E+03
 1.71000E+02, 3.36734E+03
 1.72000E+02, 3.36761E+03
 1.73000E+02, 0.00000E+00
 1.74000E+02, 3.36807E+03
 1.75000E+02, 0.00000E+00
 1.76000E+02, 3.36778E+03
 1.77000E+02, 3.36764E+03
 1.78000E+02, 0.00000E+00
 1.79000E+02, 3.36745E+03
 1.80000E+02, 3.36768E+03
 1.81000E+02, 3.36775E+03
 1.82000E+02, 0.00000E+00
 1.83000E+02, 3.36698E+03
 1.84000E+02, 3.36723E+03
 1.85000E+02, 3.36774E+03
 1.86000E+02, 0.00000E+00
 1.87000E+02, 3.36717E+03
 1.88000E+02, 3.36778E+03
 1.89000E+02, 0.00000E+00
 1.90000E+02, 3.36701E+03
 1.91000E+02, 3.36769E+03
 1.92000E+02, 3.36755E+03
 1.93000E+02, 0.00000E+00
 1.94000E+02, 3.36758E+03
 1.95000E+02, 3.36749E+03
 1.96000E+02, 0.00000E+00
 1.97000E+02, 3.36682E+03
 1.98000E+02, 3.36720E+03
 1.99000E+02, 3.36680E+03
 2.00000E+02, 0.00000E+00
 2.01000E+02, 3.36720E+03
 2.02000E+02, 3.36749E+03
 2.03000E+02, 0.00000E+00
 2.04000E+02, 3.36702E+03
 2.05000E+02, 3.36800E+03
 2.06000E+02, 3.36758E+03
 2.07000E+02, 0.00000E+00
 2.08000E+02, 3.36701E+03
 2.09000E+02, 3.36794E+03
 2.10000E+02, 3.36292E+03
 2.11000E+02, 3.36817E+03
 2.12000E+02, 0.00000E+00
 2.13000E+02, 3.36662E+03
 2.14000E+02, 0.00000E+00
 2.15000E+02, 0.00000E+00
 2.16000E+02, 0.00000E+00
 2.17000E+02, 3.36760E+03
 2.18000E+02, 3.36725E+03
 2.19000E+02, 3.36819E+03
 2.20000E+02, 3.36664E+03
 2.21000E+02, 0.00000E+00
 2.22000E+02, 3.36803E+03
 2.23000E+02, 0.00000E+00
 2.24000E+02, 0.00000E+00
 2.25000E+02, 3.36810E+03
 2.26000E+02, 3.36794E+03
 2.27000E+02, 0.00000E+00
 2.28000E+02, 0.00000E+00
 2.29000E+02, 3.36689E+03
 2.30000E+02, 3.36748E+03
