//Exported ASCII-File
[Header]
FileName = D:\User\WITec\Measurements\Romane\APTMS_DROPLETS.wip_2.wip
GraphName = 3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: x0(2))
SizeX = 1
SizeY = 1
SizeGraph = 720
PositionUnit = µm
PositionX = 1071.7
PositionY = -10932.9
PositionZ = 93.68775
XAxisUnit = P
DataUnit = rel. 1/cm

[Data]
X-Axis,3.12_10microL_center_x50--Series Slow--090--Spec.Data 1 (CRR) (Sub BG) (Fit Gauss: x0(2))
P,rel. 1/cm
 0.00000E+00, 3.30638E+03
 1.00000E+00, 3.30656E+03
 2.00000E+00, 3.30627E+03
 3.00000E+00, 0.00000E+00
 4.00000E+00, 3.30623E+03
 5.00000E+00, 0.00000E+00
 6.00000E+00, 3.30666E+03
 7.00000E+00, 3.30653E+03
 8.00000E+00, 0.00000E+00
 9.00000E+00, 0.00000E+00
 1.00000E+01, 3.30651E+03
 1.10000E+01, 0.00000E+00
 1.20000E+01, 3.30652E+03
 1.30000E+01, 3.30684E+03
 1.40000E+01, 0.00000E+00
 1.50000E+01, 3.30635E+03
 1.60000E+01, 0.00000E+00
 1.70000E+01, 3.30627E+03
 1.80000E+01, 0.00000E+00
 1.90000E+01, 3.30665E+03
 2.00000E+01, 3.30685E+03
 2.10000E+01, 3.30680E+03
 2.20000E+01, 0.00000E+00
 2.30000E+01, 3.30679E+03
 2.40000E+01, 0.00000E+00
 2.50000E+01, 3.30638E+03
 2.60000E+01, 0.00000E+00
 2.70000E+01, 3.30670E+03
 2.80000E+01, 3.30645E+03
 2.90000E+01, 3.30671E+03
 3.00000E+01, 3.30700E+03
 3.10000E+01, 3.30645E+03
 3.20000E+01, 3.30642E+03
 3.30000E+01, 3.30660E+03
 3.40000E+01, 3.30710E+03
 3.50000E+01, 0.00000E+00
 3.60000E+01, 3.30698E+03
 3.70000E+01, 3.30667E+03
 3.80000E+01, 3.30659E+03
 3.90000E+01, 0.00000E+00
 4.00000E+01, 3.30744E+03
 4.10000E+01, 3.30643E+03
 4.20000E+01, 3.30647E+03
 4.30000E+01, 3.30656E+03
 4.40000E+01, 3.30689E+03
 4.50000E+01, 0.00000E+00
 4.60000E+01, 3.30685E+03
 4.70000E+01, 0.00000E+00
 4.80000E+01, 3.30651E+03
 4.90000E+01, 3.30674E+03
 5.00000E+01, 3.30687E+03
 5.10000E+01, 3.30732E+03
 5.20000E+01, 3.30649E+03
 5.30000E+01, 3.30686E+03
 5.40000E+01, 0.00000E+00
 5.50000E+01, 3.30686E+03
 5.60000E+01, 3.30655E+03
 5.70000E+01, 3.30639E+03
 5.80000E+01, 0.00000E+00
 5.90000E+01, 0.00000E+00
 6.00000E+01, 3.30681E+03
 6.10000E+01, 3.30671E+03
 6.20000E+01, 0.00000E+00
 6.30000E+01, 3.30663E+03
 6.40000E+01, 3.30677E+03
 6.50000E+01, 3.30660E+03
 6.60000E+01, 0.00000E+00
 6.70000E+01, 3.30655E+03
 6.80000E+01, 0.00000E+00
 6.90000E+01, 0.00000E+00
 7.00000E+01, 3.30688E+03
 7.10000E+01, 3.30705E+03
 7.20000E+01, 3.30699E+03
 7.30000E+01, 3.30672E+03
 7.40000E+01, 3.30667E+03
 7.50000E+01, 3.30649E+03
 7.60000E+01, 3.30739E+03
 7.70000E+01, 0.00000E+00
 7.80000E+01, 0.00000E+00
 7.90000E+01, 0.00000E+00
 8.00000E+01, 0.00000E+00
 8.10000E+01, 3.30655E+03
 8.20000E+01, 3.30683E+03
 8.30000E+01, 0.00000E+00
 8.40000E+01, 3.30697E+03
 8.50000E+01, 0.00000E+00
 8.60000E+01, 3.30723E+03
 8.70000E+01, 3.30629E+03
 8.80000E+01, 3.30658E+03
 8.90000E+01, 0.00000E+00
 9.00000E+01, 3.30665E+03
 9.10000E+01, 3.30719E+03
 9.20000E+01, 3.30699E+03
 9.30000E+01, 3.30647E+03
 9.40000E+01, 3.30680E+03
 9.50000E+01, 3.30683E+03
 9.60000E+01, 0.00000E+00
 9.70000E+01, 3.30677E+03
 9.80000E+01, 3.30673E+03
 9.90000E+01, 3.30703E+03
 1.00000E+02, 3.30712E+03
 1.01000E+02, 3.30698E+03
 1.02000E+02, 3.30674E+03
 1.03000E+02, 0.00000E+00
 1.04000E+02, 3.30644E+03
 1.05000E+02, 0.00000E+00
 1.06000E+02, 3.30724E+03
